ID,Nom,Date de début,Date de fin,Durée,Avancée,Coût,Responsable,Prédécesseurs,Numéro hiérarchique,Ressources,Lien internet,Notes
36,Organisation,05/09/16,14/02/17,117,0,0,,,1,,,
44,"  Gestion des tâches / Diagramme Gantt",09/09/16,14/02/17,113,0,0,,,1.1,,,
37,"  Présentations",14/10/16,08/11/16,18,0,0,,,1.2,,,
38,"    Présentation générale",14/10/16,14/10/16,1,0,0,,,1.2.1,,,
39,"    Présentation EGit",18/10/16,18/10/16,1,0,0,,,1.2.2,,,
40,"    Présentation Eclipse",18/10/16,18/10/16,1,0,0,,,1.2.3,,,
41,"    Présentation Sonar",18/10/16,18/10/16,1,0,0,,,1.2.4,,,
42,"    Présentation GitHub / Git",24/10/16,24/10/16,1,0,0,,,1.2.5,,,
43,"    Présentation Pull request / Branche",08/11/16,08/11/16,1,0,0,,,1.2.6,,,
59,"    Présentation Redmine",18/10/16,18/10/16,1,0,0,,,1.2.7,,,
60,"    Présentation Trello",08/11/16,08/11/16,1,0,0,,,1.2.8,,,
45,"  Réunions",09/09/16,20/01/17,96,0,0,,,1.3,,,
46,"    Reunion",09/09/16,09/09/16,1,0,0,,,1.3.1,,,
47,"    Reunion",30/11/16,30/11/16,1,0,0,,,1.3.2,,,
48,"    Reunion",13/10/16,13/10/16,1,0,0,,,1.3.3,,,
49,"    Reunion",15/09/16,15/09/16,1,0,0,,,1.3.4,,,
50,"    Reunion",20/01/17,20/01/17,1,0,0,,,1.3.5,,,
71,"  Redmine / Trello",19/09/16,14/02/17,107,0,0,,,1.4,,,
72,"    Installation Redmine",19/09/16,19/09/16,1,0,0,,,1.4.1,,,
73,"    configuration Redmine",19/09/16,20/09/16,2,0,0,,,1.4.2,,,
74,"    Affecttation des tâches Redmine",20/09/16,22/09/16,3,0,0,,,1.4.3,,,
75,"    Configuration Trello",11/10/16,13/10/16,3,0,0,,,1.4.4,,,
76,"    Affectation des tâches Trello",13/10/16,14/02/17,89,0,0,,,1.4.5,,,
93,"  Jenkins",13/10/16,06/12/16,39,0,0,,,1.5,,,
94,"    Installation Jenkins",13/10/16,13/10/16,1,0,0,,,1.5.1,,,
95,"    Configuration Jenkins",14/10/16,18/10/16,3,0,0,,,1.5.2,,,
96,"    Document d'installation Jenkins",01/12/16,06/12/16,4,0,0,,,1.5.3,,,
97,"  Sonar",05/09/16,30/11/16,63,0,0,,,1.6,,,
98,"    Installation SonarQube",30/11/16,30/11/16,1,0,0,,,1.6.1,,,
99,"    Configuration SonarQube",01/11/16,11/11/16,9,0,0,,,1.6.2,,,
100,"    Documentation SonarQube",14/11/16,18/11/16,5,0,0,,,1.6.3,,,
101,"    Suivi de Qualité SonarQube",05/09/16,05/09/16,1,0,0,,,1.6.4,,,
104,"  Configuration Git / GitHub",09/11/16,15/11/16,5,0,0,,,1.7,,,
35,Langage,05/09/16,05/09/16,1,0,0,,,2,,,
